Student number;Final exam Mark;Points;Midterm exam mark;Points;Final grade;Fresh connection (before midterm);Fresh connection Final exam;Fresh connection Final exam
1;6,1;26,0;5,2;22,0;5,65;0;0;0
2;0;0;0;0;0;0;0;0
3;6,9;29,0;7,1;30,0;7;1;0;1
4;0;0;4,0;17,0;2;1;0;1
5;0;0;4,0;17,0;2;0;0;0
6;0;0;0;0;0;0;0;0
7;0;0;1,0;4,0;0,5;1;0;1
8;1,0;0,0;1,0;1,0;1;0;0;0
9;0;0;0;0;0;0;0;0
10;0;0;2,6;11,0;1,3;0;0;0
11;5,7;24,0;5,5;23,5;5,6;0;0;0
12;8,0;34,0;7,0;29,5;7,5;0;0;0
13;6,6;28,0;7,6;32,0;7,1;1;0;1
14;5,5;23,5;6,4;27,0;5,95;0;0;0
15;0;0;0;0;0;0;0;0
16;0;0;3,3;14,0;1,65;1;0;1
17;0;0;3,3;14,0;1,65;1;0;1
18;0;0;0;0;0;0;0;0
19;8,5;36,0;7,6;32,0;8,05;0;0;0
20;1,6;7,0;1,9;8,0;1,75;0;0;0
21;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0
23;7,1;30,0;7,3;31,0;7,2;1;1;1
24;0;0;0;0;0;0;0;0
25;1,0;0,0;3,8;16,0;2,4;0;0;0
26;1,4;6,0;3,5;15,0;2,45;1;1;1
27;4,1;17,5;2,6;11,0;3,35;0;0;0
28;6,0;25,5;5,1;21,5;5,55;0;0;0
29;0;0;2,0;8,5;1;0;0;0
30;0;0;0;0;0;0;0;0
31;3,0;13,0;5,2;22,0;4,1;1;0;1
32;4,2;18,0;5,5;23,5;4,85;0;0;0
33;0;0;0;0;0;0;0;0
34;0;0;0;0;0;0;0;0
35;8,4;35,5;5,7;24,0;7,05;0;0;0
36;0;0;;;0;0;0;0
37;1,1;5,0;0;0;0,55;0;0;0
38;2,8;12,0;3,3;14,0;3,05;1;0;1
39;0;0;3,5;15,0;1,75;0;0;0
40;0;0;;;0;0;0;0
41;5,4;23,0;5,7;24,0;5,55;1;1;1
42;5,2;22,0;5,9;25,0;5,55;1;0;1
43;0;0;0;0;0;0;0;0
44;0;0;0;0;0;0;0;0
45;5,9;25,0;5,2;22,0;5,55;0;0;0
46;8,9;37,5;6,1;26,0;7,5;1;0;1
47;6,4;27,0;7,1;30,0;6,75;0;0;0
48;1,0;3,0;4,6;19,5;2,8;1;0;1
49;0;0;0;0;0;0;0;0
50;2,8;12,0;5,2;22,0;4;0;0;0
51;5,8;24,5;6,0;25,5;5,9;0;0;0
52;2,6;11,0;3,8;16,0;3,2;0;0;0
53;4,0;17,0;7,1;30,0;5,55;1;1;1
54;3,9;16,5;5,7;24,0;4,8;1;0;1
55;0;0;0;0;0;0;0;0
56;2,6;11,0;5,0;21,0;3,8;1;0;1
57;3,3;14,0;4,0;17,0;3,65;1;0;1
58;0;0;0;0;0;0;0;0
59;5,9;25,0;8,5;36,0;7,2;0;1;1
60;7,3;31,0;5,3;22,5;6,3;0;0;0
61;6,4;27,0;6,9;29,0;6,65;1;0;1
62;4,0;17,0;7,1;30,0;5,55;1;0;1
63;4,7;20,0;5,0;21,0;4,85;1;1;1
64;0;0;1,4;6,0;0,7;1;0;1
65;0;0;2,3;10,0;1,15;1;0;1
66;7,2;30,5;6,1;26,0;6,65;0;0;0
67;7,3;31,0;5,0;21,0;6,15;1;1;1
68;5,4;23,0;6,9;29,0;6,15;1;1;1
69;2,1;9,0;2,6;11,0;2,35;0;0;0
70;7,7;32,5;6,5;27,5;7,1;0;0;0
71;6,4;27,0;9,2;39,0;7,8;1;0;1
72;5,0;21,0;7,1;30,0;6,05;1;0;1
73;7,1;30,0;7,6;32,0;7,35;1;0;1
74;0;0;1,0;4,0;0,5;0;0;0
75;0;0;4,0;17,0;2;0;0;0
76;0;0;4,5;19,0;2,25;1;0;1
77;5,9;25,0;5,2;22,0;5,55;1;0;1
78;3,8;16,0;;;0;0;0;0
79;6,9;29,0;5,2;22,0;6,05;0;0;0
80;0;0;6,0;25,5;3;0;0;0
81;0;0;0;0;0;0;0;0
82;5,2;22,0;0;0;2,6;0;0;0
83;2,1;9,0;5,1;21,5;3,6;0;0;0
84;0;0;0;0;0;0;0;0
85;0;0;4,0;17,0;2;0;0;0
86;2,1;9,0;6,1;26,0;4,1;1;0;1
87;0;0;5,4;23,0;2,7;0;0;0
88;0;0;4,0;17,0;2;0;0;0
89;7,3;31,0;6,4;27,0;6,85;0;0;0
90;6,4;27,0;5,7;24,0;6,05;0;0;0
91;0;0;0;0;0;0;0;0
92;8,0;34,0;6,9;29,0;7,45;1;0;1
93;7,1;30,0;7,3;31,0;7,2;0;0;0
94;0;0;0;0;0;0;0;0
95;0;0;4,2;18,0;2,1;0;0;0
96;0;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0
98;8,3;35,0;6,4;27,0;7,35;0;0;0
99;5,0;21,0;5,5;23,5;5,25;0;0;0
100;5,4;23,0;5,9;25,0;5,65;1;1;1
101;0;0;1,7;7,5;0,85;0;0;0
102;3,3;14,0;1,0;2,0;2,15;0;0;0
103;4,2;18,0;6,0;25,5;5,1;0;0;0
104;0;0;0;0;0;0;0;0
105;5,2;22,0;7,1;30,0;6,15;1;0;1
106;6,4;27,0;6,6;28,0;6,5;1;1;1
107;0;0;0;0;0;0;0;0
108;6,1;26,0;5,5;23,5;5,8;0;0;0
109;0;0;;;0;0;0;0
110;5,4;23,0;6,6;28,0;6;1;1;1
111;0;0;3,5;15,0;1,75;0;0;0
112;0;0;0;0;0;0;0;0
113;0;0;0;0;0;0;0;0
114;0;0;0;0;0;0;0;0
115;4,0;17,0;5,4;23,0;4,7;0;0;0
116;5,0;21,0;7,3;31,0;6,15;0;0;0
117;7,3;31,0;7,7;32,5;7,5;0;0;0
118;8,3;35,0;7,8;33,0;8,05;1;0;1
119;6,9;29,0;7,8;33,0;7,35;0;0;0
120;0;0;3,5;15,0;1,75;0;0;0
121;3,0;13,0;3,5;15,0;3,25;1;0;1
122;7,6;32,0;7,1;30,0;7,35;1;0;1
123;0;0;0;0;0;0;0;0
124;6,3;26,5;5,1;21,5;5,7;0;0;0
125;8,0;34,0;5,4;23,0;6,7;1;0;1
126;6,1;26,0;6,6;28,0;6,35;1;0;1
127;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0
130;7,6;32,0;6,1;26,0;6,85;0;0;0
131;3,0;13,0;5,2;22,0;4,1;0;0;0
132;0;0;0;0;0;0;0;0
133;0;0;5,0;21,0;2,5;1;0;1
134;5,0;21,0;5,0;21,0;5;1;0;1
135;0;0;0;0;0;0;0;0
136;3,0;13,0;6,1;26,0;4,55;0;1;1
137;0;0;0;0;0;1;0;1
138;0;0;0;0;0;0;0;0
139;5,7;24,0;6,5;27,5;6,1;1;0;1
140;4,2;18,0;7,2;30,5;5,7;0;0;0
141;3,8;16,0;4,0;17,0;3,9;1;0;1
142;5,4;23,0;6,9;29,0;6,15;1;0;1
143;6,1;26,0;6,4;27,0;6,25;0;0;0
144;0;0;2,8;12,0;1,4;1;0;1
145;7,5;31,5;5,8;24,4;6,65;0;0;0
146;0;0;0;0;0;0;0;0
147;6,7;28,5;7,2;30,5;6,95;0;0;0
148;0;0;1,9;8,0;0,95;0;0;0
149;3,8;16,0;5,4;23,0;4,6;1;0;1
150;0;0;4,5;19,0;2,25;1;0;1
151;6,9;29,0;6,7;28,5;6,8;0;0;0
152;0;0;0;0;0;0;0;0
153;0;0;0;0;0;0;0;0
154;6,4;27,0;6,6;28,0;6,5;0;0;0
155;1,9;8,0;2,8;12,0;2,35;1;0;1
156;0;0;0;0;0;0;0;0
157;5,4;23,0;6,0;25,5;5,7;0;0;0
158;6,3;26,5;9,0;38,0;7,65;0;0;0
159;6,4;27,0;5,0;21,0;5,7;1;0;1
160;6,1;26,0;5,0;21,0;5,55;1;0;1
161;8,3;35,0;6,4;27,0;7,35;1;0;1
162;0;0;0;0;0;0;0;0
163;5,7;24,0;6,1;26,0;5,9;0;1;1
164;4,7;20,0;5,4;23,0;5,05;1;0;1
165;6,1;26,0;5,0;21,0;5,55;0;1;1
166;0;0;;;0;0;0;0
167;0;0;2,3;10,0;1,15;0;0;0
168;0;0;0;0;0;0;0;0
169;0;0;0;0;0;0;0;0
170;6,4;27,0;6,6;28,0;6,5;0;0;0
171;4,7;20,0;5,0;21,0;4,85;1;0;1
172;4,5;19,0;4,2;18,0;4,35;1;0;1
173;5,2;22,0;7,1;30,0;6,15;1;0;1
174;0;0;0;0;0;0;0;0
175;0;0;1,0;4,0;0,5;0;0;0
176;1,0;0,0;3,8;16,0;2,4;0;1;1
177;0;0;0;0;0;0;0;0
178;0;0;4,2;18,0;2,1;1;0;1
179;0;0;;;0;0;0;0
180;1,0;2,5;4,2;18,0;2,6;0;0;0
181;1,0;4,0;1,0;1,0;1;1;0;1
182;0;0;0;0;0;0;0;0
183;4,0;17,0;4,0;17,0;4;1;0;1
184;5,9;25,0;5,2;22,0;5,55;1;1;1
185;7,1;30,0;5,4;23,0;6,25;0;0;0
186;0;0;0;0;0;0;0;0
187;3,5;15,0;5,7;24,0;4,6;1;1;1
188;5,4;23,0;8,0;34,0;6,7;1;0;1
189;4,2;18,0;5,2;22,0;4,7;1;0;1
190;0;0;0;0;0;0;0;0
191;0;0;0;0;0;0;0;0
192;3,5;15,0;5,4;23,0;4,45;1;1;1
193;0;0;0;0;0;0;1;1
194;0;0;0;0;0;0;0;0
195;0;0;3,3;14,0;1,65;1;0;1
196;0;0;0;0;0;0;0;0
197;4,0;17,0;2,8;12,0;3,4;1;0;1
198;5,7;24,0;6,6;28,0;6,15;1;0;1
199;8,8;37,0;6,4;27,0;7,6;1;0;1
200;5,0;21,0;3,5;15,0;4,25;0;0;0
201;5,4;23,0;6,9;29,0;6,15;0;0;0
202;0;0;1,0;4,0;0,5;0;0;0
203;0;0;3,8;16,0;1,9;1;0;1
204;9,0;38,0;9,1;38,5;9,05;1;0;1
205;0;0;0;0;0;0;0;0
206;0;0;5,1;21,5;2,55;1;0;1
207;5,8;24,5;7,5;31,5;6,65;0;0;0
208;0;0;0;0;0;0;0;0
209;7,6;32,0;7,3;31,0;7,45;1;0;1
210;6,9;29,0;4,2;18,0;5,55;1;0;1
211;0;0;3,3;14,0;0;0;0;0
212;8,5;36,0;9,5;40,0;9;1;0;1
213;0;0;;;0;0;0;0
214;5,4;23,0;1,9;8,0;3,65;0;0;0
215;2,8;12,0;5,0;21,0;3,9;1;0;1
216;0;0;0;0;0;0;0;0
217;0;0;0;0;0;0;0;0
218;1,0;4,0;5,0;21,0;3;1;0;1
219;0;0;4,2;18,0;2,1;1;1;1
220;6,1;26,0;5,9;25,0;6;1;1;1
221;2,3;10,0;2,8;12,0;2,55;1;0;1
222;0;0;1,0;2,0;0,5;1;1;1
223;6,1;26,0;5,0;21,0;5,55;1;0;1
224;0;0;0;0;0;0;0;0
225;0;0;4,5;19,0;2,25;1;1;1
226;8,4;35,5;6,0;25,5;7,2;0;0;0
227;8,5;36,0;5,0;21,0;6,75;1;1;1
228;6,4;27,0;6,9;29,0;6,65;1;0;1
229;6,9;29,0;7,3;31,0;7,1;0;0;0
230;0;0;0;0;0;0;0;0
231;6,3;26,5;7,5;31,5;6,9;0;0;0
232;0;0;;;0;0;0;0
233;0;0;5,0;21,0;2,5;1;1;1
234;4,2;18,0;5,4;23,0;4,8;1;1;1
235;6,0;25,5;5,1;21,5;5,55;0;0;0
236;0;0;4,5;19,0;2,25;0;0;0
237;1,0;0,0;2,3;10,0;1,65;0;0;0
238;0;0;0;0;0;0;0;0
239;0;0;3,5;15,0;1,75;0;0;0
240;5,0;21,0;7,1;30,0;6,05;1;0;1
241;1,0;3,0;3,4;14,5;2,2;0;0;0
242;7,6;32,0;6,1;26,0;6,85;1;0;1
243;0;0;;;0;0;0;0
244;3,5;15,0;6,4;27,0;4,95;0;0;0
245;5,5;23,5;5,7;24,0;5,6;1;0;1
246;0;0;0;0;0;0;0;0
247;5,4;23,0;6,1;26,0;5,75;0;0;0
248;0;0;2,3;10,0;1,15;1;0;1
249;6,1;26,0;5,7;24,0;5,9;0;0;0
250;0;0;3,5;15,0;1,75;1;0;1
251;7,0;29,5;6,5;27,5;6,75;0;0;0
252;8,2;34,5;6,5;27,5;7,35;0;0;0
253;0;0;3,3;14,0;1,65;0;0;0
254;4,7;20,0;5,0;21,0;4,85;1;0;1
255;9,2;39,0;7,6;32,0;8,4;1;0;1
256;5,3;22,5;5,8;24,5;5,55;0;0;0
257;3,3;14,0;0;0;1,65;1;1;1
258;7,1;30,0;7,1;30,0;7,1;0;0;0
259;0;0;1,0;2,0;0,5;0;0;0
260;6,6;28,0;6,4;27,0;6,5;0;0;0
261;5,3;22,5;7,5;31,5;6,4;1;0;1
262;7,8;33,0;6,1;26,0;6,95;0;0;0
263;5,2;22,0;6,0;25,5;5,6;0;0;0
264;6,1;26,0;6,6;28,0;6,35;0;0;0
265;5,9;25,0;7,8;33,0;6,85;1;0;1
266;0;0;0;0;0;0;0;0
267;4,4;18,5;6,7;28,5;5,55;0;0;0
268;0;0;0;0;0;0;0;0
269;8,8;37,0;8,8;37,0;8,8;1;0;1
270;5,0;21,0;7,3;31,0;6,15;0;0;0
271;1,6;7,0;1,6;7,0;1,6;1;0;1
272;0;0;0;0;0;0;0;0
273;0;0;2,6;11,0;1,3;0;0;0
274;0;0;0;0;0;1;0;1
275;2,2;9,5;3,8;16,0;3;0;0;0
276;0;0;5,2;22,0;2,6;0;0;0
277;0;0;0;0;0;0;0;0
278;0;0;0;0;0;0;0;0
279;0;0;;;0;0;0;0
280;1,0;2,0;4,0;17,0;2,5;1;0;1
281;6,4;27,0;5,4;23,0;5,9;0;1;1
282;5,2;22,0;5,9;25,0;5,55;0;0;0
283;6,9;29,0;7,8;33,0;7,35;0;0;0
284;0;0;0;0;0;0;0;0
285;0;0;0;0;0;0;0;0
286;3,5;15,0;5,2;22,0;4,35;0;0;0
287;0;0;0;0;0;0;0;0
288;0;0;0;0;0;0;0;0
289;5,3;22,5;3,5;15,0;4,4;0;0;0
290;7,7;32,5;8,8;37,0;8,25;0;0;0
291;0;0;3,5;15,0;1,75;0;0;0
292;0;0;0;0;0;0;0;0
293;0;0;0;0;0;0;0;0
294;7,0;29,5;6,6;28,0;6,8;0;0;0
295;0;0;0;0;0;0;0;0
296;2,8;12,0;3,3;14,0;3,05;1;0;1
297;0;0;0;0;0;0;0;0
298;2,6;11,0;5,2;22,0;3,9;1;0;1
299;0;0;0;0;0;0;0;0
300;0;0;;;0;0;0;0
301;3,8;16,0;5,7;24,0;4,75;1;1;1
302;4,5;19,0;7,3;31,0;5,9;1;0;1
303;3,5;15,0;5,9;25,0;4,7;0;0;0
304;5,2;22,0;5,9;25,0;5,55;0;0;0
305;6,4;27,0;6,6;28,0;6,5;0;0;0
306;5,4;23,0;6,9;29,0;6,15;1;0;1
307;6,6;28,0;5,2;22,0;5,9;1;0;1
308;0;0;;;0;0;0;0
309;5,0;21,0;5,0;21,0;5;0;0;0
310;0;0;3,8;16,0;1,9;1;0;1
311;1,0;0,0;3,8;16,0;2,4;0;0;0
312;7,6;32,0;6,9;29,0;7,25;0;0;0
313;5,4;23,0;6,9;29,0;6,15;1;0;1
314;2,8;12,0;4,2;18,0;3,5;0;0;0
315;3,3;14,0;6,1;26,0;4,7;0;0;0
316;5,9;25,0;5,2;22,0;5,55;1;0;1
317;5,0;21,0;5,7;24,0;5,35;1;0;1
318;6,4;27,0;5,0;21,0;5,7;1;0;1
319;7,0;29,5;5,1;21,5;6,05;0;0;0
320;5,2;22,0;8,0;34,0;6,6;1;1;1
321;6,5;27,5;5,7;24,0;6,1;1;0;1
322;0;0;0;0;0;0;0;0
323;6,1;26,0;7,1;30,0;6,6;1;1;1
324;1,0;2,0;0;0;0;0;0;0
325;0;0;0;0;0;0;0;0
326;6,4;27,0;6,6;28,0;6,5;1;0;1
327;2,7;11,5;3,9;16,5;3,3;0;0;0
328;1,0;1,0;3,0;13,0;2;0;0;0
329;3,8;16,0;2,3;10,0;3,05;0;0;0
330;5,0;21,0;7,3;31,0;6,15;1;1;1
331;0;0;3,6;15,5;1,8;0;0;0
332;4,2;18,0;5,0;21,0;4,6;1;0;1
333;4,2;18,0;5,4;23,0;4,8;1;1;1
334;0;0;4,2;18;2,1;1;0;1
335;0;0;4,5;19,0;2,25;0;0;0
336;0;0;1,9;8,0;0,95;0;0;0
337;0;0;;;0;1;0;1
338;0;0;0;0;0;0;0;0
339;0;0;2,3;10,0;1,15;0;0;0
340;0;0;4,0;17,0;2;1;0;1
341;7,2;30,5;7,8;33,0;7,5;0;0;0
342;6,1;26,0;5,0;21,0;5,55;1;0;1
343;0;0;4,2;18,0;2,1;1;0;1
344;2,3;10,0;5,8;24,5;4,05;0;0;0
345;0;0;0;0;0;0;0;0
346;0;0;0;0;0;0;0;0
347;5,9;25,0;7,6;32,0;6,75;0;0;0
348;0;0;2,9;12,5;1,45;0;0;0
349;6,4;27,0;7,8;33,0;7,1;1;1;1
350;3,8;16,0;6,1;26,0;4,95;0;0;0
